ref_cell_id_fine,X,Y,Z,Col11a2,Emilin3a,Fgf10a,Hand2,Myod1,Prdm1a,Robo3,Sox9a,Tbx5a
10,0.272798901236216,0.1354165541428805,0.2828879172274007,0.5699106876827845,0.3721632317701176,0.18852848538409395,0.4880633728738409,0.10151160695294291,0.11163088526769316,0.16124887302205732,0.4187025651679509,0.7621155712739005
11,0.30876849851143984,0.07666008934939682,0.15456335779016062,0.5229189370059707,0.08474557137967498,0.12271461142876552,,0.7682831729522677,0.12108650684727536,0.2085368088194142,0.20931022966580573,0.2406523798933069
12,0.22595853165443694,0.2219990657022339,0.11456025521753253,0.4437764479455174,0.020941531453148244,0.15528581960621035,0.12758495819533758,0.42763546309100786,0.09279260012005591,0.1193121910646409,0.09589782732372545,0.13143145000398054
13,0.34542792475780937,0.19570791676034405,0.10761523858900508,0.8049618962699856,0.023264853722372088,0.11912445759993688,0.11884896582332223,0.5089269316260049,0.11085248619751768,0.15010950585674523,0.15543599328080657,0.16940024659168917
14,0.41582649568157504,0.12569388724045885,0.2796407874155752,0.47303418816076215,0.02381796551496966,0.2926564823065869,0.10365290747289836,0.07420947744480846,0.21377486625106717,0.5850111771630029,0.11337314850319735,0.4935524751936604
15,0.10473961369262065,0.20463713686563176,0.10625277458540718,0.3245745532905405,0.02941424046269921,0.16075498382164338,0.25469122338535366,0.057802735241531455,0.15140503299900082,0.17008863209655345,0.13219885494162206,0.2872265458103764
16,0.17105855267829326,0.03953127232009317,0.12100848219667217,0.6411891838254088,0.036959004213752936,0.22755789490166273,0.14968686831230432,0.3544109523208616,0.1330897476705636,0.23438603831599478,0.15876714401854297,0.25684966204229825
17,0.1385391547319788,0.10520346341089187,0.22820151136838573,0.6328348637120793,0.037145069799359436,0.3701931133102616,,0.06833592135182025,0.14769697176792168,0.42064194710532204,0.1334591923663236,0.4106711915141891
18,0.45705418768623135,0.12847835380122644,0.17281504812717954,0.5321319714513273,0.020193044783920384,0.11683314605961585,0.12583493257325537,0.043675087722945295,0.12601979619254672,0.1699424407997285,0.10576563393398235,0.32867645332751094
19,0.49429080890374827,0.19170906968914284,0.04554994047580329,0.8171651003178652,0.020315243938485293,0.09746365356262394,0.11079114209682438,0.03439416352899521,0.0796095635905968,0.07984529497211955,0.05505686127463983,0.0963901099173205
20,0.17468713103910768,0.11600473180366862,0.14210582386148968,0.4180015907676451,0.3608739309459012,0.16829820764171266,0.34778984446295697,0.06115075427496859,0.07836462619436742,0.18101840164454677,0.4409320589500394,0.6807460675785986
21,0.3378694899920845,0.08765417219771483,0.0565039147116499,0.4462417705776426,0.05391187207505357,0.1274278872299281,0.12942691861531982,0.3191314833790139,0.07230586198791669,0.1461103182363863,0.3038272392330567,0.25371091200254675
22,0.20970482219129793,0.1494507495578766,0.4079094811552999,0.5040750546825272,0.013876993690945144,0.17511958225431337,0.17573577851614233,0.12542691268739922,0.5386820054733424,0.17886002385094898,0.10679473150130288,0.08220590934737132
23,0.3332412677104916,0.21352066064397743,0.2084994261958463,,0.019905365092236012,0.20033063482581476,0.15398066464019955,,0.1518387410044178,0.1792964499451687,0.11317961311103747,0.23407085248573778
24,0.31832563768609007,0.10399516695800216,0.24243487934176808,0.5661013704656627,0.27220561928253395,0.13012647213547665,,0.08540259449129906,0.09930961647415744,0.12817664746140314,0.7371966863723538,0.7019297942864271
25,0.17450743975207897,0.19761903903091982,0.21278939240150666,0.4180709419636203,0.035822022045846065,0.21519465069383692,0.5576450038263359,0.09035232628178466,0.1896129199737917,0.13564361860824145,0.1114681799211698,0.5669480393064567
