ref_cell_id,X,Y,Z,Col11a2,Emilin3a,Fgf10a,Hand2,Myod1,Prdm1a,Robo3,Sox9a,Tbx5a
27,0.4353448382526334,0.10717526159497577,0.27721727134141255,0.571505128329406,0.021785378527853845,0.24521912018930553,0.10904608426692024,0.0719599961371585,0.240331948917499,0.5001874296116988,0.10095164637130623,0.4147768099773134
28,0.2808996024205721,0.17275432767655743,0.2731333275923994,0.5499306690709369,0.2503352519162106,0.3180940599432915,0.5666517588406987,0.0999551529621357,0.1276728886541275,0.1500882795818273,0.4535252153416875,0.6501554188535177
29,0.2112643466390718,0.13465676244424687,0.19600247949533742,0.6200490112553598,0.5907022843457315,0.146066970113676,0.7338461233056922,0.0643244886060317,0.08598967897569566,0.12081729328813956,0.40206309182636235,0.7697721830587998
30,0.2584661335632649,0.1394346464636588,0.4312763411091553,0.6364869645317264,0.021106921420720043,0.18792608471399536,0.15275007914341557,0.08936766852724218,0.6226641343036773,0.326641909962829,0.08675240407614991,0.08425970794376735
31,0.4339603816503628,0.097851451649331,0.15688362372370224,0.488029960904012,0.030836743139419413,0.1336300155210402,0.1282313142149875,0.04980554232974901,0.09052823427077503,0.15025339955666756,0.21469634678512597,0.44291888424707465
32,0.349704235905946,0.12614283286416486,0.4315687399386709,0.6111976720124593,0.020903265465302794,0.18877275170591956,0.1931471823377014,0.10951984228165153,0.7844030578553864,0.24811321376808676,0.12724972378467728,0.08665550229604457
33,0.37475617018969354,0.1364231445042044,0.3072430505454226,0.6465354250719819,0.03216084241332154,0.43226384802941337,0.18314378216480848,0.07405098768099046,0.1984357036520682,0.41331355583273327,0.1450625256397915,0.469163612318681
34,0.22471318223596817,0.1739467054148869,0.10346357793866051,0.5299861354671023,0.19635373849482224,0.12521945438464951,0.5062661892178663,0.3025899247662563,0.0854174163065042,0.13430042012884078,0.32806483152473165,0.48686287873890766
35,0.2513628730866997,0.12277233281390594,0.36404819601467914,0.6771361742871099,0.024564076792386452,0.6289261043003537,0.22841373620168082,0.0731126425045467,0.24338994881175235,0.6048420609546326,0.09626872789008833,0.373577024664585
36,0.3189932990573312,0.05860647926135432,0.23072922073909805,0.5552818583986375,0.0653973477263092,0.22612123905125667,0.14639331989090476,0.3478602515996207,0.09240941211449638,0.25375664139141596,0.30204218546368305,0.4251726844116082
